tvk,code,allow_org_key,rtvk,organism_key,taxon
NHMSYS0000876486,1,allow,NHMSYS0000876486,NBNORG0000072741,Omalus aeneus
NHMSYS0000876487,1,allow,NHMSYS0000876487,NBNORG0000072742,Omalus puncticollis
NHMSYS0000876512,1,allow,NHMSYS0000876512,NBNORG0000072751,Osmia inermis
NHMSYS0000876516,1,allow,NHMSYS0000876516,NBNORG0000072752,Osmia parietina
NHMSYS0000876517,1,allow,NHMSYS0000876517,NBNORG0000072753,Osmia pilicornis
NHMSYS0000876519,1,allow,NHMSYS0000876519,NBNORG0000072754,Osmia uncinata
NHMSYS0000876520,1,,NHMSYS0000876520,NBNORG0000072755,Osmia xanthomelana
NHMSYS0000876522,1,allow,NHMSYS0000876522,NBNORG0000072761,Oxybelus argentatus
NHMSYS0000876523,1,allow,NHMSYS0000876523,NBNORG0000072762,Oxybelus mandibularis
NHMSYS0000876535,1,allow,NHMSYS0000876535,NBNORG0000072770,Passaloecus clypealis
NHMSYS0000876542,1,allow,NHMSYS0000876542,NBNORG0000072775,Passaloecus monilicornis
NHMSYS0000876564,1,allow,NHMSYS0000876564,NBNORG0000072784,Pemphredon morio
NHMSYS0000876591,1,allow,NHMSYS0000876591,NBNORG0000072802,Podalonia affinis
NHMSYS0000876592,1,allow,NHMSYS0000876592,NBNORG0000072803,Podalonia hirsuta
NHMSYS0000876596,1,allow,NHMSYS0021164399,NBNORG0000072806,Polistes dominula
NHMSYS0000876602,1,allow,NHMSYS0000876602,NBNORG0000072810,Ponera coarctata
NBNSYS0000009401,1,allow,NBNSYS0000009401,NBNORG0000072814,Priocnemis agilis
NBNSYS0000009402,1,allow,NBNSYS0000009402,NBNORG0000072815,Priocnemis cordivalvata
NBNSYS0000009406,1,allow,NBNSYS0000009406,NBNORG0000072818,Priocnemis hyalinata
NBNSYS0000009410,1,allow,NBNSYS0000009410,NBNORG0000072822,Priocnemis schioedtei
NBNSYS0000007950,1,allow,NBNSYS0000007950,NBNORG0000072824,Priocnemis coriacea
NBNSYS0000009412,1,allow,NBNSYS0000009412,NBNORG0000072826,Priocnemis susterai
NHMSYS0000876631,1,allow,NHMSYS0000876631,NBNORG0000072832,Psen ater
NHMSYS0000876635,1,allow,NHMSYS0000876635,NBNORG0000072835,Psenulus schencki
NHMSYS0000876638,1,,NHMSYS0000876638,NBNORG0000072837,Pseudepipona herrichii
NHMSYS0000876657,1,allow,NHMSYS0000876657,NBNORG0000072847,Rhopalum gracile
NHMSYS0000876662,1,allow,NHMSYS0000876662,NBNORG0000072851,Rophites quinquespinosus
NHMSYS0000876673,1,,NHMSYS0000876673,NBNORG0000072860,Solenopsis fugax
NHMSYS0000876673,1,allow,NHMSYS0000876673,NBNORG0000072861,Solenopsis fugax
NHMSYS0000876681,1,allow,NHMSYS0000876681,NBNORG0000072865,Sphecodes ferruginatus
NHMSYS0000876684,1,allow,NHMSYS0000876684,NBNORG0000072868,Sphecodes longulus
NHMSYS0000876694,1,allow,NHMSYS0000876694,NBNORG0000072875,Sphecodes scabricollis
NHMSYS0000876697,1,allow,NHMSYS0000876697,NBNORG0000072876,Sphecodes spinulosus
NHMSYS0000876709,1,,NHMSYS0000876709,NBNORG0000072884,Stelis breviuscula
NHMSYS0000876711,1,allow,NHMSYS0000876711,NBNORG0000072885,Stelis ornatula
NHMSYS0000876712,1,allow,NHMSYS0000876712,NBNORG0000072886,Stelis phaeoptera
NHMSYS0000876713,1,allow,NHMSYS0000876713,NBNORG0000072887,Stelis punctulatissima
NHMSYS0000876720,1,allow,NHMSYS0000876720,NBNORG0000072893,Strongylognathus testaceus
NHMSYS0000876723,1,allow,NHMSYS0000876723,NBNORG0000072895,Symmorphus connexus
NHMSYS0000876724,1,allow,NHMSYS0000876724,NBNORG0000072896,Symmorphus crassicornis
NHMSYS0000876732,1,allow,NHMSYS0000876732,NBNORG0000072899,Tachysphex nitidus
NHMSYS0000876738,1,allow,NHMSYS0000876738,NBNORG0000072904,Tapinoma erraticum
NHMSYS0000876741,1,allow,NHMSYS0000876741,NBNORG0000072907,Temnothorax albipennis
NHMSYS0000876742,1,allow,NHMSYS0000876742,NBNORG0000072908,Temnothorax interruptus
NHMSYS0000876767,1,allow,NHMSYS0000876767,NBNORG0000072925,Trypoxylon minus
NHMSYS0000876780,1,allow,NHMSYS0000876780,NBNORG0000072936,Vespula austriaca
NHMSYS0000876788,2,allow,NHMSYS0000876788,NBNORG0000072940,Xylocopa violacea
NHMSYS0020545625,1,allow,NHMSYS0020545625,NBNORG0000099217,Myrmica lonae
NHMSYS0000875563,2,,NHMSYS0000875563,NBNORG0000104246,Bombus humilis
NHMSYS0000875572,2,allow,NHMSYS0000875572,NBNORG0000104248,Bombus muscorum
NHMSYS0000875582,2,allow,NHMSYS0000875582,NBNORG0000104261,Bombus ruderarius
NHMSYS0000875593,2,,NHMSYS0000875593,NBNORG0000104262,Bombus sylvarum
NHMSYS0020936558,1,allow,NHMSYS0020936558,NBNORG0000106720,Episyron gallicum
NHMSYS0020936564,1,allow,NHMSYS0020936564,NBNORG0000106721,Heriades rubicola
NHMSYS0020936576,1,allow,NHMSYS0020936576,NBNORG0000106723,Lasioglossum sexstrigatum
NHMSYS0020936606,1,allow,NHMSYS0020936606,NBNORG0000106728,Ponera testacea
NHMSYS0020977379,1,allow,NHMSYS0020977379,NBNORG0000106731,Tapinoma subboreale
NHMSYS0020936612,1,allow,NHMSYS0020936612,NBNORG0000129282,Priocnemis confusor
