"organism_key","taxon","code"
"NBNORG0000040542","Pomatoschistus minutus",4
"NBNORG0000040545","Chelonia mydas",2
"NBNORG0000040547","Caretta caretta",2
"NBNORG0000040550","Eretmochelys imbricata",2
"NBNORG0000040552","Dermochelys coriacea",1
"NBNORG0000040622","Odobenus rosmarus",1
"NBNORG0000040629","Stenella coeruleoalba",2
"NBNORG0000040637","Delphinapterus leucas",1
"NBNORG0000040639","Monodon monoceros",1
"NBNORG0000040642","Mesoplodon europaeus",2
"NBNORG0000040650","Asparagopsis armata",2
"NBNORG0000040653","Pikea californica",3
"NBNORG0000040658","Undaria pinnatifida",1
"NBNORG0000040659","Sargassum muticum",1
"NBNORG0000040661","Codium fragile",4
"NBNORG0000043632","Zostera (Zosterella) noltei",2
"NBNORG0000049712","Balaenoptera acutorostrata",2
"NBNORG0000049713","Globicephala melas",3
"NBNORG0000049714","Grampus griseus",2
"NBNORG0000049715","Lagenorhynchus acutus",1
"NBNORG0000049716","Lagenorhynchus albirostris",1
"NBNORG0000049718","Ziphius cavirostris",1
"NBNORG0000049761","Epizoanthus couchii",2
"NBNORG0000049765","Halcampa chrysanthellum",2
"NBNORG0000049787","Stenocyathus vermiformis",4
"NBNORG0000051225","Lamna nasus",2
"NBNORG0000051407","Centrophorus granulosus",2
"NBNORG0000051408","Centrophorus squamosus",2
"NBNORG0000051449","Hoplostethus atlanticus",2
"NBNORG0000051465","Macrourus berglax",2
"NBNORG0000052068","Phorbas dives",5
"NBNORG0000052470","Lepidochelys olivacea",3
"NBNORG0000052672","Eubalaena glacialis",1
"NBNORG0000052719","Balaena mysticetus",1
"NBNORG0000052865","Grateloupia turuturu",2
"NBNORG0000053620","Chara canescens",2
"NBNORG0000061553","Alosa fallax",3
"NBNORG0000061579","Coregonus oxyrinchus",3
"NBNORG0000061629","Pomatoschistus microps",4
"NBNORG0000062272","Pleurosigma planktonicum",5
"NBNORG0000063237","Palaemon macrodactylus",2
"NBNORG0000063995","Aglaothamnion diaphanum",5
"NBNORG0000063998","Aglaothamnion priceanum",5
"NBNORG0000064008","Anotrichium barbatum",5
"NBNORG0000064009","Anotrichium furcellatum",4
"NBNORG0000064015","Antithamnionella spirographidis",5
"NBNORG0000064046","Bornetia secundiflora",5
"NBNORG0000064099","Chondria coerulescens",4
"NBNORG0000064113","Cladophora battersii",5
"NBNORG0000064135","Colpomenia peregrina",1
"NBNORG0000064149","Cruoria cruoriaeformis",5
"NBNORG0000064151","Cryptonemia hibernica",6
"NBNORG0000064164","Dasya punicea",5
"NBNORG0000064171","Grateloupia montagnei",3
"NBNORG0000064174","Desmarestia dudresnayi",4
"NBNORG0000064185","Gracilaria bursa-pastoris",2
"NBNORG0000064187","Gracilaria multipartita",3
"NBNORG0000064192","Grateloupia filicina",4
"NBNORG0000064222","Lithothamnion corallioides",4
"NBNORG0000064384","Gelidiella calcicola",3
"NBNORG0000064409","Halymenia latifolia",5
"NBNORG0000064520","Schmitzia hiscockiana",2
"NBNORG0000064534","Solieria chordalis",3
"NBNORG0000070284","Desdemona ornata",3
"NBNORG0000085695","Eriocheir sinensis",2
"NBNORG0000086196","Acipenser ruthenus",2
"NBNORG0000086456","Edwardsia danica",5
"NBNORG0000086457","Edwardsia longicornis",5
"NBNORG0000086458","Edwardsia tuberculata",5
"NBNORG0000086470","Hemigrapsus takanoi",2
"NBNORG0000086501","Nepinnotheres pinnotheres",4
"NBNORG0000086508","Paragorgia arborea",2
"NBNORG0000086517","Primnoa resedaeformis",3
"NBNORG0000086521","Solenosmilia variabilis",3
"NBNORG0000086532","Xantho hydrophilus",3
"NBNORG0000090441","Strongylocentrotus droebachiensis",1
"NBNORG0000090463","Asteronyx loveni",2
"NBNORG0000090642","Arachnactis albida",4
"NBNORG0000090662","Polyplumaria flabellata",2
"NBNORG0000090669","Sagartiogeton undatus",2
"NBNORG0000090670","Virgularia mirabilis",1
"NBNORG0000090671","Stomphia coccinea",3
"NBNORG0000090681","Gonactinia prolifera",3
"NBNORG0000091215","Pachycordyle navis",2
"NBNORG0000093841","Leucoraja circularis",2
"NBNORG0000093843","Rostroraja alba",2
"NBNORG0000093844","Hippocampus guttulatus",2
"NBNORG0000095928","Corella eumyota",3
"NBNORG0000096476","Maja brachydactyla",2
"NBNORG0000097191","Anthomastus grandiflorus",2
"NBNORG0000097598","Semisalsa stagnorum",5
"NBNORG0000097638","Mytilopsis leucophaeata",2
"NBNORG0000097649","Otina ovata",3
"NBNORG0000099221","Botrylloides violaceus",3
"NBNORG0000099222","Caprella mutica",4
"NBNORG0000099227","Didemnum vexillum",5
"NBNORG0000099738","Allomelita pellucida",3
"NBNORG0000099926","Ebalia granulosa",4
"NBNORG0000099927","Ebalia nux",4
"NBNORG0000100063","Xantho pilipes",6
"NBNORG0000100380","Dyspanopeus sayi",3
"NBNORG0000100417","Metaphoxus fultoni",3
"NBNORG0000100443","Peltocoxa brevirostris",3
"NBNORG0000103538","Ruditapes philippinarum",3
"NBNORG0000103552","Alcyonium hibernicum",3
"NBNORG0000103696","Gobius cobitis",4
"NBNORG0000103705","Micromesistius poutassou",2
"NBNORG0000103736","Centroscymnus coelolepis",2
"NBNORG0000103742","Andresia parthenopea",4
"NBNORG0000103754","Edwardsia beautempsii",5
"NBNORG0000103755","Epizoanthus papillosus",1
"NBNORG0000103755","Epizoanthus papillosus",5
"NBNORG0000103882","Chalinula loosanoffi",5
"NBNORG0000103903","Dysidea pallescens",5
